"assignee_id","assignee_name","associations","component_id","component_name","created_at","comments","closed_on","description","due_on","hours_estimate_current","hours_estimate_initial","hours_actual","id","milestone_id","milestone_title","number","priority","project_id","project_title","reporter_id","reporter_name","resolution","resolution_description","severity_id","severity_name","status","summary","updated_at","version_id","version_name","field1_value_id","field1_value","field2_value_id","field2_value","field3_value_id","field3_value"
"1","David S.","<none>","","<none>","2011-10-21T02:48:28Z","0","","","","0.0","0.0","0.00","9","","<none>","9","2","1","Pocket Algebra 1.0","1","David S.","","","","<none>","new","Better error handling in the parser","2011-10-25T03:29:31Z","","<none>","","<none>","","<none>","","<none>"
"1","David S.","<none>","","<none>","2011-10-21T02:48:52Z","0","","","","0.0","0.0","0.00","10","2","Production launch","10","2","1","Pocket Algebra 1.0","1","David S.","","","","<none>","new","Create a consistent structure for all classes (order of methods, sections, etc.) – low","2013-09-28T10:51:55Z","","<none>","","<none>","","<none>","","<none>"
"1","David S.","<none>","","<none>","2011-10-21T02:49:14Z","0","","","","0.0","0.0","0.00","11","2","Production launch","11","2","1","Pocket Algebra 1.0","1","David S.","","","","<none>","new","Rename term to expression ","2013-09-28T10:51:55Z","","<none>","","<none>","","<none>","","<none>"
"1","David S.","<none>","","<none>","2011-10-21T02:49:39Z","0","","","","0.0","0.0","0.00","12","2","Production launch","12","2","1","Pocket Algebra 1.0","1","David S.","","","","<none>","new","The use of parenthesis between printStringValue and term rendering is not consistent","2013-09-28T10:51:55Z","","<none>","","<none>","","<none>","","<none>"
"1","David S.","<none>","","<none>","2011-10-21T02:50:11Z","0","","","","0.0","0.0","0.00","13","2","Production launch","13","3","1","Pocket Algebra 1.0","1","David S.","","","","<none>","Accepted","Check unit test coverage","2013-09-28T10:51:56Z","","<none>","","<none>","","<none>","","<none>"
"1","David S.","<none>","","<none>","2011-10-21T02:50:40Z","0","","","","0.0","0.0","0.00","14","2","Production launch","14","3","1","Pocket Algebra 1.0","1","David S.","","","","<none>","new","printTermValue - (x*-(x^2))^2 and -((x*-(x^2))^2) - need an additional paranthesis","2013-09-28T10:51:55Z","","<none>","","<none>","","<none>","","<none>"
"1","David S.","<none>","","<none>","2011-10-21T02:50:58Z","0","","","","0.0","0.0","0.00","15","","<none>","15","2","1","Pocket Algebra 1.0","1","David S.","","","","<none>","Accepted","Support +-","2011-10-21T03:20:56Z","","<none>","","<none>","","<none>","","<none>"
"1","David S.","<none>","","<none>","2011-10-21T02:51:19Z","0","","","","0.0","0.0","0.00","16","","<none>","16","2","1","Pocket Algebra 1.0","1","David S.","","","","<none>","Accepted","Parser - support multiple character variable names","2011-10-21T03:20:56Z","","<none>","","<none>","","<none>","","<none>"
"1","David S.","<none>","","<none>","2011-10-21T02:55:04Z","0","","","","0.0","0.0","0.00","21","2","Production launch","21","2","1","Pocket Algebra 1.0","1","David S.","","","","<none>","Unaccepted","Add shadows to UILabels when rendering  terms","2013-09-28T10:51:55Z","","<none>","","<none>","","<none>","","<none>"
"1","David S.","<none>","","<none>","2011-10-21T02:55:29Z","0","","","","0.0","0.0","0.00","22","","<none>","22","2","1","Pocket Algebra 1.0","1","David S.","","","","<none>","Accepted","Factor integer by double tapping","2011-10-21T03:20:56Z","","<none>","","<none>","","<none>","","<none>"
"1","David S.","<none>","","<none>","2011-10-21T02:57:44Z","0","","Not sure if this is worth it.","","0.0","0.0","0.00","25","2","Production launch","25","2","1","Pocket Algebra 1.0","1","David S.","","","","<none>","new","First use of the term input view offers help","2013-09-28T10:51:55Z","","<none>","","<none>","","<none>","","<none>"
"1","David S.","<none>","","<none>","2011-10-21T02:58:07Z","0","","","","0.0","0.0","0.00","26","2","Production launch","26","2","1","Pocket Algebra 1.0","1","David S.","","","","<none>","new","When deleting an expression in the expression list animate the change ","2013-09-28T10:51:55Z","","<none>","","<none>","","<none>","","<none>"
"1","David S.","<none>","","<none>","2011-10-21T02:58:36Z","0","","","","0.0","0.0","0.00","27","2","Production launch","27","3","1","Pocket Algebra 1.0","1","David S.","","","","<none>","new","Unit tests  - System of equations ","2013-09-28T10:51:54Z","","<none>","","<none>","","<none>","","<none>"
"1","David S.","<none>","","<none>","2011-10-21T02:58:57Z","0","","","","0.0","0.0","0.00","28","2","Production launch","28","3","1","Pocket Algebra 1.0","1","David S.","","","","<none>","new","Unit tests - UI testing ","2013-09-28T10:51:54Z","","<none>","","<none>","","<none>","","<none>"
"1","David S.","<none>","","<none>","2011-10-21T03:00:40Z","0","","","","0.0","0.0","0.00","31","2","Production launch","31","2","1","Pocket Algebra 1.0","1","David S.","","","","<none>","new","Other - Add a glossary of terms","2013-09-28T10:51:55Z","","<none>","","<none>","","<none>","","<none>"
"1","David S.","<none>","","<none>","2011-10-25T00:25:14Z","0","","","","0.0","0.0","0.00","32","2","Production launch","32","3","1","Pocket Algebra 1.0","1","David S.","","","","<none>","Accepted","Need a graceful way to exit the tutorial on first launch","2013-09-28T10:51:56Z","","<none>","","<none>","","<none>","","<none>"
"1","David S.","<none>","","<none>","2011-10-26T00:49:40Z","0","","Only works if numerator is a multiplication. Needs same support as denominator.","","0.0","0.0","0.00","36","","<none>","36","2","1","Pocket Algebra 1.0","1","David S.","","","","<none>","new","Equation - moving numerator is not well supported","2011-10-26T00:49:40Z","","<none>","","<none>","","<none>","","<none>"
